id;group;source;version;name;secondary id;type;subtype;
0;MovingObject;OpenSCENARIO;;Ego;;Ego;;
1;MovingObject;OpenSCENARIO;;TF;;Scenaro;;
2;MovingObject;OpenSCENARIO;;S1;;Scenaro;;
3;MovingObject;OpenSCENARIO;;S2;;Scenaro;;
4;MovingObject;OpenSCENARIO;;S3;;Scenaro;;
5;MovingObject;OpenSCENARIO;;;;Common;;
6;MovingObject;OpenSCENARIO;;;;Common;;
7;MovingObject;OpenSCENARIO;;;;Common;;
100000;StationaryObject;OpenDRIVE;1.6;Barrier;barrier_01;obstacle;;
100001;StationaryObject;OpenDRIVE;1.6;GuardRail;guardrail_01;railing;;
100002;StationaryObject;OpenDRIVE;1.6;GuardRail;guardrail_01;railing;;
100003;StationaryObject;OpenDRIVE;1.6;GuardRail;guardrail_01;railing;;
100004;StationaryObject;OpenDRIVE;1.6;GuardRail;guardrail_01;railing;;
100005;StationaryObject;OpenDRIVE;1.6;GuardRail;guardrail_01;railing;;
100006;StationaryObject;OpenDRIVE;1.6;GuardRail;guardrail_02;railing;;
100007;StationaryObject;OpenDRIVE;1.6;GuardRail;guardrail_02;railing;;
100008;StationaryObject;OpenDRIVE;1.6;GuardRail;guardrail_02;railing;;
100009;StationaryObject;OpenDRIVE;1.6;GuardRail;guardrail_02;railing;;
100010;StationaryObject;OpenDRIVE;1.6;GuardRail;guardrail_02;railing;;
200000;Others;OpenDRIVE;1.6;LaneRoadMark;;Solid;;
200001;Others;OpenDRIVE;1.6;LaneRoadMark;;Solid;;
200002;Others;OpenDRIVE;1.6;Lane;-3;Driving;;
200003;Others;OpenDRIVE;1.6;LaneRoadMark;;Broken;;
200004;Others;OpenDRIVE;1.6;Lane;-2;Driving;;
200005;Others;OpenDRIVE;1.6;LaneRoadMark;;Broken;;
200006;Others;OpenDRIVE;1.6;Lane;-1;Driving;;
