frame;id;AccelerationEgo;VelocityEgo;XPosition;YPosition;YawAngle
0;0;0.000000; 8.330000; -39.729969; -9.110620; -0.006700
0;1; -0.000000; 19.440000; 101.699921; 1.826321; 3.130000
10;0;-7.048988; 8.330000; -39.646670; -9.111178; -0.006700
10;1; -5.472872; 19.440000; 101.505534; 1.828575; 3.130000
20;0;3.771385; 8.259510; -39.563372; -9.111736; -0.006700
20;1; 4.253503; 19.385271; 101.311147; 1.830828; 3.130000
30;0;-6.681416; 8.297224; -39.480779; -9.112288; -0.006698
30;1; -5.838008; 19.427806; 101.117307; 1.833073; 3.130003
40;0;-5.805927; 8.230410; -39.397809; -9.112834; -0.006691
40;1; 4.268140; 19.369427; 100.923042; 1.835312; 3.130016
50;0;3.612756; 8.172351; -39.315506; -9.113377; -0.006683
50;1; -5.978165; 19.412109; 100.729360; 1.837498; 3.130075
60;0;-6.328442; 8.208478; -39.233785; -9.113916; -0.006676
60;1; 4.274774; 19.352329; 100.535251; 1.839678; 3.130147
70;0;-4.780439; 8.145194; -39.151702; -9.114461; -0.006672
70;1; -5.693229; 19.395077; 100.341740; 1.841804; 3.130265
80;0;3.481802; 8.097389; -39.070252; -9.115012; -0.006672
80;1; -4.445166; 19.338148; 100.147800; 1.843922; 3.130394
90;0;-3.445721; 8.132207; -38.989279; -9.115559; -0.006672
90;1; 4.231527; 19.293696; 99.954430; 1.845986; 3.130569
100;0;-4.754705; 8.097750; -38.907959; -9.116109; -0.006672
100;1; -4.812287; 19.336012; 99.761504; 1.848041; 3.130752
110;0;3.478702; 8.050203; -38.826984; -9.116653; -0.006672
110;1; 4.269283; 19.287891; 99.568155; 1.850086; 3.130944
120;0;-1.476989; 8.084990; -38.746483; -9.117189; -0.006672
120;1; -4.678745; 19.330585; 99.375286; 1.852075; 3.131181
130;0;-2.788241; 8.070220; -38.665635; -9.117726; -0.006671
130;1; 4.268001; 19.283799; 99.181990; 1.854050; 3.131426
140;0;3.226734; 8.042338; -38.584935; -9.118254; -0.006664
140;1; -4.566461; 19.326480; 98.989162; 1.855970; 3.131714
150;0;-0.948706; 8.074605; -38.504513; -9.118772; -0.006650
150;1; -4.659907; 19.280816; 98.795906; 1.857872; 3.132009
160;0;-2.167525; 8.065119; -38.423769; -9.119287; -0.006633
160;1; 4.234107; 19.234217; 98.603107; 1.859718; 3.132345
170;0;3.147053; 8.043444; -38.343119; -9.119791; -0.006607
170;1; -3.788134; 19.276558; 98.410773; 1.861533; 3.132727
180;0;-0.746739; 8.074915; -38.262686; -9.120281; -0.006571
180;1; 4.260280; 19.238675; 98.218016; 1.863326; 3.133110
190;0;-1.942705; 8.067448; -38.181938; -9.120767; -0.006531
190;1; -3.798207; 19.281276; 98.025637; 1.865064; 3.133529
200;0;-1.684606; 8.048020; -38.101265; -9.121241; -0.006483
200;1; -4.459736; 19.243291; 97.832832; 1.866775; 3.133946
210;0;3.085515; 8.031174; -38.020787; -9.121732; -0.006450
210;1; 4.234186; 19.198689; 97.640406; 1.868429; 3.134398
220;0;-0.055352; 8.062029; -37.940476; -9.122237; -0.006431
220;1; -3.147134; 19.241027; 97.448426; 1.870029; 3.134874
230;0;-1.220372; 8.061475; -37.859858; -9.122751; -0.006414
230;1; 4.251322; 19.209549; 97.256022; 1.871595; 3.135340
240;0;3.026088; 8.049272; -37.779245; -9.123270; -0.006404
240;1; -3.232792; 19.252057; 97.063933; 1.873107; 3.135836
250;0;-0.475158; 8.079533; -37.698754; -9.123796; -0.006400
250;1; 4.251221; 19.219721; 96.871418; 1.874585; 3.136318
260;0;-1.620795; 8.074781; -37.617960; -9.124326; -0.006398
260;1; -3.326978; 19.262224; 96.679226; 1.876015; 3.136819
270;0;-1.471396; 8.058573; -37.537214; -9.124858; -0.006398
270;1; -4.005674; 19.228943; 96.486609; 1.877406; 3.137303
280;0;3.058095; 8.043859; -37.456630; -9.125391; -0.006398
280;1; 4.231207; 19.188874; 96.294324; 1.878747; 3.137807
290;0;2.120551; 8.074440; -37.376193; -9.125922; -0.006398
290;1; -2.811131; 19.231172; 96.102439; 1.880036; 3.138320
300;0;-1.192698; 8.095645; -37.295451; -9.126453; -0.006398
300;1; 4.240531; 19.203046; 95.910132; 1.881278; 3.138808
310;0;3.022271; 8.083718; -37.214496; -9.126982; -0.006398
310;1; -2.961614; 19.245435; 95.718105; 1.882472; 3.139312
320;0;-1.310087; 8.113941; -37.133660; -9.127505; -0.006394
320;1; -3.642898; 19.215802; 95.525654; 1.883618; 3.139792
330;0;-2.455912; 8.100840; -37.052523; -9.128025; -0.006387
330;1; 4.226929; 19.179353; 95.333499; 1.884714; 3.140287
340;0;3.183827; 8.076282; -36.971516; -9.128563; -0.006387
340;1; -2.549331; 19.221600; 95.141708; 1.885755; 3.140788
350;0;-0.814532; 8.108121; -36.890755; -9.129119; -0.006387
350;1; 3.618045; 19.196087; 94.949495; 1.886742; 3.141256
360;0;-2.023112; 8.099976; -36.809676; -9.129685; -0.006391
360;1; -2.739610; 19.232250; 94.757536; 1.887681; 3.141736
370;0;-1.750226; 8.079746; -36.728678; -9.130259; -0.006404
370;1; -3.327491; 19.204830; 94.565216; 1.888583; 3.142165
380;0;3.093843; 8.062244; -36.647883; -9.130844; -0.006429
380;1; -4.221046; 19.171528; 94.373170; 1.889433; 3.142605
390;0;-0.070021; 8.093183; -36.567263; -9.131435; -0.006463
390;1; -2.308601; 19.213709; 94.181456; 1.890227; 3.143050
400;0;-1.269198; 8.092483; -36.486333; -9.132031; -0.006498
400;1; -2.990549; 19.190598; 93.989320; 1.890962; 3.143458
410;0;3.032317; 8.079791; -36.405410; -9.132628; -0.006535
410;1; -4.215625; 19.160664; 93.797415; 1.891647; 3.143878
420;0;-0.523983; 8.110114; -36.324615; -9.133225; -0.006574
420;1; -2.082827; 19.202787; 93.605810; 1.892279; 3.144300
430;0;-1.683069; 8.104874; -36.243516; -9.133822; -0.006612
430;1; -3.579658; 19.181933; 93.413783; 1.892850; 3.144685
440;0;3.085007; 8.088043; -36.162469; -9.134416; -0.006648
440;1; -2.336377; 19.217707; 93.221964; 1.893374; 3.145078
450;0;1.585241; 8.118892; -36.081591; -9.135001; -0.006677
450;1; -2.920871; 19.194315; 93.029788; 1.893859; 3.145416
460;0;-1.789131; 8.134745; -36.000404; -9.135583; -0.006704
460;1; -4.212018; 19.165075; 92.837845; 1.894296; 3.145760
470;0;3.098132; 8.116854; -35.919059; -9.136159; -0.006725
470;1; -2.018165; 19.207158; 92.646195; 1.894681; 3.146104
480;0;-1.494080; 8.147836; -35.837892; -9.136750; -0.006761
480;1; -3.575488; 19.186949; 92.454124; 1.895004; 3.146410
490;0;-2.665386; 8.132896; -35.756416; -9.137352; -0.006801
490;1; -2.281192; 19.222680; 92.262254; 1.895283; 3.146721
500;0;-2.159797; 8.106243; -35.675089; -9.137967; -0.006852
500;1; -2.876116; 19.199839; 92.070028; 1.895521; 3.146977
510;0;3.146244; 8.084646; -35.594029; -9.138594; -0.006915
510;1; -4.208971; 19.171041; 91.878029; 1.895714; 3.147239
520;0;-0.134146; 8.116109; -35.513185; -9.139227; -0.006983
520;1; -1.989966; 19.213092; 91.686319; 1.895848; 3.147508
530;0;-1.335980; 8.114767; -35.432027; -9.139864; -0.007052
530;1; -2.670063; 19.193162; 91.494188; 1.895919; 3.147743
540;0;3.040922; 8.101408; -35.350882; -9.140502; -0.007121
540;1; -3.607813; 19.166428; 91.302256; 1.895941; 3.147991
550;0;-0.562541; 8.131817; -35.269870; -9.141139; -0.007188
550;1; -1.857581; 19.202481; 91.110592; 1.895910; 3.148244
560;0;-1.724940; 8.126191; -35.188554; -9.141776; -0.007253
560;1; -3.559636; 19.183878; 90.918567; 1.895837; 3.148445
570;0;3.090235; 8.108941; -35.107295; -9.142409; -0.007314
570;1; -2.049676; 19.219451; 90.726729; 1.895719; 3.148655
580;0;-0.657021; 8.139843; -35.026208; -9.143031; -0.007366
580;1; -2.632139; 19.198927; 90.534534; 1.895562; 3.148812
590;0;0.623034; 8.133273; -34.944812; -9.143649; -0.007413
590;1; -4.204494; 19.172576; 90.342545; 1.895361; 3.148978
600;0;-1.620024; 8.139503; -34.863481; -9.144258; -0.007451
600;1; -1.817983; 19.214588; 90.150819; 1.895113; 3.149148
610;0;3.076606; 8.123304; -34.782089; -9.144878; -0.007495
610;1; -2.498585; 19.196384; 89.958674; 1.894807; 3.149287
620;0;-1.029540; 8.154070; -34.700858; -9.145513; -0.007549
620;1; -3.604140; 19.171373; 89.766710; 1.894462; 3.149435
630;0;-2.202074; 8.143775; -34.619320; -9.146156; -0.007607
630;1; -1.740855; 19.207394; 89.574997; 1.894074; 3.149586
640;0;3.151581; 8.121754; -34.537885; -9.146807; -0.007669
640;1; -2.328564; 19.189965; 89.382923; 1.893649; 3.149685
650;0;-0.798321; 8.153270; -34.456670; -9.147464; -0.007734
650;1; -3.595771; 19.166658; 89.191024; 1.893190; 3.149791
660;0;-2.001079; 8.145287; -34.375140; -9.148124; -0.007799
660;1; -1.607762; 19.202598; 88.999358; 1.892691; 3.149900
670;0;-1.747611; 8.125276; -34.293690; -9.148785; -0.007862
670;1; -2.193935; 19.186503; 88.807333; 1.892159; 3.149957
680;0;-1.056274; 8.107800; -34.212440; -9.149442; -0.007920
680;1; -3.590071; 19.164544; 88.615469; 1.891595; 3.150020
690;0;3.004798; 8.097237; -34.131364; -9.150094; -0.007972
690;1; -1.513424; 19.200430; 88.423824; 1.890998; 3.150085
700;0;0.197685; 8.127285; -34.050394; -9.150739; -0.008017
700;1; -3.549840; 19.185282; 88.231821; 1.890369; 3.150099
710;0;-0.934722; 8.129262; -33.969124; -9.151381; -0.008056
710;1; -1.759561; 19.220767; 88.039969; 1.889714; 3.150117
720;0;2.988804; 8.119915; -33.887834; -9.152018; -0.008088
720;1; -2.338873; 19.203158; 87.847763; 1.889031; 3.150117
730;0;-0.435697; 8.149803; -33.806637; -9.152670; -0.008131
730;1; -2.088904; 19.179754; 87.655733; 1.888321; 3.150117
740;0;0.962930; 8.145446; -33.725142; -9.153333; -0.008178
740;1; -3.589638; 19.158853; 87.463937; 1.887582; 3.150118
